num,group,team,pos,elo,uid
74,E,ger,1,1954,1E
77,I,fra,1,2090,1I
73,B,can,2,1748,2B
75,C,mar,2,1877,2C
83,K,col,2,2006,2K
84,H,esp,1,2134,1H
81,D,usa,1,1820,1D
82,G,egy,1,1740,1G
76,C,bra,1,2009,1C
78,I,nor,2,1951,2I
79,A,mex,1,1896,1A
80,L,eng,1,2028,1L
86,J,arg,1,2144,1J
88,G,bel,2,1869,2G
85,B,sui,1,1914,1B
87,K,por,1,1988,1K
