team,mp,w,d,l,gf,ga,gd,pts
mex,2,2,0,0,3,0,3,6
sk,2,1,0,1,2,2,0,3
cze,2,0,1,1,2,3,-1,1
sa,2,0,1,1,1,3,-2,1
